date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:36	3581/3581	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20May%202026%2008:28:36%20GMT	https://pace-multimedia.com/robots.txt		(from )
15:28:37	12385/12385	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20May%202026%2008:28:36%20GMT	https://pace-multimedia.com/	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index.html	(from )
15:28:37	102025/102025	---MCZ	200	added ('OK')	text/css	etag:W/%2218e89-jAbYJznRSwlP9tkDYCGiUr0dmF0%22	https://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@6.4.0/css/all.min.css	D:/hnl2/pace-multimedia-clone/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@6.4.0/css/all.min.css	(from https://pace-multimedia.com/)
15:28:37	47317/47317	---MCZ	200	added ('OK')	text/css	etag:W/%22e5dfc2eb04b8a923626d62bd7f59ae5a%22	https://pace-multimedia.com/css/style.css	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/css/style.css	(from https://pace-multimedia.com/)
15:28:37	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:37%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/)
15:28:38	523894/523894	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22400a38bb1d2048d6d86ad2b4c748e362%22	https://pace-multimedia.com/images/logo-new-transparent.svg	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/images/logo-new-transparent.svg	(from https://pace-multimedia.com/)
15:28:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:38%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/)
15:28:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:38%20GMT	https://pace-multimedia.com/about.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/about.html	(from https://pace-multimedia.com/)
15:28:38	21494/21494	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20May%202026%2008:28:38%20GMT	https://pace-multimedia.com/about	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/about.html	(from https://pace-multimedia.com/)
15:28:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:38%20GMT	https://pace-multimedia.com/services.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/services.html	(from https://pace-multimedia.com/)
15:28:39	15434/15434	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20May%202026%2008:28:39%20GMT	https://pace-multimedia.com/services	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/services.html	(from https://pace-multimedia.com/)
15:28:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:39%20GMT	https://pace-multimedia.com/careers.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/careers.html	(from https://pace-multimedia.com/)
15:28:39	18959/18959	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20May%202026%2008:28:39%20GMT	https://pace-multimedia.com/careers	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/careers.html	(from https://pace-multimedia.com/)
15:28:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:39%20GMT	https://pace-multimedia.com/contact.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/contact.html	(from https://pace-multimedia.com/)
15:28:39	11512/11512	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20May%202026%2008:28:39%20GMT	https://pace-multimedia.com/contact	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/contact.html	(from https://pace-multimedia.com/)
15:28:40	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2009%20May%202026%2008:28:40%20GMT	https://pace-multimedia.com/index.html	D:/hnl2/pace-multimedia-clone/pace-multimedia.com/index-2.html	(from https://pace-multimedia.com/)
